TS = 16120336, TJ = 3687769
TS = 20922561, TJ = 4068908
TS = 21955630, TJ = 2803277
TS = 18244498, TJ = 1077796
TS = 2228016, TJ = 2157529
TS = 2021733, TJ = 1959962
TS = 24269216, TJ = 2254277
TS = 24168552, TJ = 1889541
TS = 24690584, TJ = 1314567
TS = 23891042, TJ = 1607919
TS = 24591449, TJ = 1770789
TS = 20682646, TJ = 989307
TS = 15869138, TJ = 3398149
TS = 16928666, TJ = 1577761
TS = 9410439, TJ = 5272032
TS = 1916151, TJ = 1869581
TS = 6141193, TJ = 2304005
TS = 5867302, TJ = 915481
TS = 2152060, TJ = 2074319
TS = 4186555, TJ = 1397929
